GLPSOL--GLPK LP/MIP Solver 5.0
Parameter(s) specified in the command line:
 -m ../GLPK/GraphColoringGLPK.mod -d 2-FullIns_4.col.dat -o ../sol/2-FullIns_4.col.dat.sol
Reading model section from ../GLPK/GraphColoringGLPK.mod...
../GLPK/GraphColoringGLPK.mod:28: warning: unexpected end of file; missing end statement inserted
28 lines were read
Reading data section from 2-FullIns_4.col.dat...
3247 lines were read
Generating colors_count...
Generating R1...
Generating R2...
Generating R3...
Model has been successfully generated
GLPK Integer Optimizer 5.0
687728 rows, 45156 columns, 2196532 non-zeros
45156 integer variables, all of which are binary
Preprocessing...
687727 rows, 45156 columns, 2196320 non-zeros
45156 integer variables, all of which are binary
Scaling...
 A: min|aij| =  1.000e+00  max|aij| =  1.000e+00  ratio =  1.000e+00
Problem data seem to be well scaled
Constructing initial basis...
Size of triangular part is 687727
Solving LP relaxation...
GLPK Simplex Optimizer 5.0
687727 rows, 45156 columns, 2196320 non-zeros
      0: obj =   0.000000000e+00 inf =   6.696e+03 (3243)
   5221: obj =   5.288470975e+00 inf =   2.051e+03 (2723) 2
   5388: obj =   5.735505863e+00 inf =   1.900e+03 (2723) 1
   5550: obj =   6.057331372e+00 inf =   1.793e+03 (2723) 2
   5717: obj =   6.481434442e+00 inf =   1.664e+03 (2717) 1
   5881: obj =   6.894344330e+00 inf =   1.538e+03 (2687) 2
   6050: obj =   7.247332323e+00 inf =   1.444e+03 (2685) 1
   6211: obj =   7.654125557e+00 inf =   1.333e+03 (2663) 2
   6378: obj =   7.889822364e+00 inf =   1.273e+03 (2609) 1
   6545: obj =   8.194954566e+00 inf =   1.193e+03 (2405) 1
   6710: obj =   8.370322228e+00 inf =   1.149e+03 (2383) 2
   6870: obj =   8.622593655e+00 inf =   1.097e+03 (2277) 2
   7037: obj =   8.701903319e+00 inf =   1.068e+03 (1881) 1
   7181: obj =   8.749359375e+00 inf =   1.036e+03 (1823) 2
   7308: obj =   8.760861217e+00 inf =   1.001e+03 (1783) 1
   7449: obj =   8.785313466e+00 inf =   9.615e+02 (1775) 1
   7598: obj =   8.786612106e+00 inf =   9.280e+02 (1773) 2
   7749: obj =   8.786978345e+00 inf =   8.933e+02 (1769) 1
   7896: obj =   8.790769382e+00 inf =   8.576e+02 (1769) 2
   8048: obj =   8.812904674e+00 inf =   8.276e+02 (1753) 1
   8199: obj =   8.815209389e+00 inf =   8.249e+02 (1039) 1
   8346: obj =   8.855399956e+00 inf =   7.903e+02 (1023) 2
   8492: obj =   8.858053066e+00 inf =   7.617e+02 (979) 1
   8628: obj =   8.884243518e+00 inf =   7.350e+02 (961) 2
   8779: obj =   8.907468752e+00 inf =   7.052e+02 (951) 1
   8928: obj =   8.905452699e+00 inf =   6.707e+02 (945) 1
   9062: obj =   8.889291253e+00 inf =   6.482e+02 (931) 2
   9198: obj =   8.908993424e+00 inf =   6.244e+02 (925) 1
   9337: obj =   9.006684286e+00 inf =   5.906e+02 (891) 1
   9465: obj =   9.026225118e+00 inf =   5.691e+02 (809) 2
   9607: obj =   9.030684231e+00 inf =   5.494e+02 (799) 1
   9738: obj =   9.040489713e+00 inf =   5.235e+02 (771) 1
   9869: obj =   9.041127150e+00 inf =   5.054e+02 (745) 1
  10003: obj =   9.041832729e+00 inf =   4.900e+02 (733) 2
  10152: obj =   9.019127756e+00 inf =   4.810e+02 (733) 1
  10294: obj =   9.004824736e+00 inf =   4.680e+02 (727) 2
  10439: obj =   9.001447379e+00 inf =   4.491e+02 (725) 1
  10582: obj =   9.001736688e+00 inf =   4.285e+02 (719) 1
  10721: obj =   9.006382025e+00 inf =   4.110e+02 (715) 2
  10865: obj =   9.005472735e+00 inf =   3.959e+02 (699) 1
  11007: obj =   9.006721473e+00 inf =   3.781e+02 (695) 1
  11150: obj =   9.008586157e+00 inf =   3.708e+02 (689) 2
  11296: obj =   9.039662548e+00 inf =   3.618e+02 (687) 1
  11437: obj =   9.065318489e+00 inf =   3.447e+02 (653) 1
  11573: obj =   9.083388181e+00 inf =   3.318e+02 (633) 2
  11713: obj =   9.086001616e+00 inf =   3.201e+02 (631) 1
  11852: obj =   9.084552810e+00 inf =   3.062e+02 (563) 1
  11989: obj =   9.079581248e+00 inf =   2.984e+02 (549) 2
  12133: obj =   9.072702231e+00 inf =   2.952e+02 (543) 1
  12277: obj =   9.040622819e+00 inf =   2.893e+02 (539) 1
  12418: obj =   9.027109761e+00 inf =   2.782e+02 (537) 1
  12550: obj =   9.037847140e+00 inf =   2.629e+02 (507) 2
  12687: obj =   9.023573632e+00 inf =   2.507e+02 (483) 1
  12824: obj =   9.026221420e+00 inf =   2.406e+02 (471) 1
  12958: obj =   9.019698379e+00 inf =   2.317e+02 (445) 2
  13099: obj =   9.023864310e+00 inf =   2.272e+02 (425) 1
  13240: obj =   9.029251477e+00 inf =   2.239e+02 (417) 1
  13379: obj =   9.031922654e+00 inf =   2.139e+02 (409) 1
  13514: obj =   9.043938330e+00 inf =   2.058e+02 (393) 2
  13649: obj =   9.030041539e+00 inf =   1.966e+02 (371) 1
  13768: obj =   9.027276802e+00 inf =   1.910e+02 (349) 1
  13886: obj =   9.016791321e+00 inf =   1.861e+02 (339) 1
  14001: obj =   9.010101841e+00 inf =   1.822e+02 (331) 1
  14138: obj =   9.005399348e+00 inf =   1.811e+02 (331) 1
  14262: obj =   8.998668438e+00 inf =   1.791e+02 (323) 2
  14395: obj =   9.050518583e+00 inf =   1.753e+02 (317) 1
  14523: obj =   9.114468580e+00 inf =   1.714e+02 (311) 1
  14644: obj =   9.183796214e+00 inf =   1.641e+02 (305) 1
  14779: obj =   9.247260669e+00 inf =   1.565e+02 (289) 1
  14906: obj =   9.253705120e+00 inf =   1.512e+02 (263) 2
  15025: obj =   9.260667300e+00 inf =   1.466e+02 (241) 1
  15147: obj =   9.261066595e+00 inf =   1.447e+02 (229) 1
  15274: obj =   9.254726586e+00 inf =   1.422e+02 (225) 1
  15407: obj =   9.325727166e+00 inf =   1.389e+02 (221) 1
  15533: obj =   9.374960364e+00 inf =   1.354e+02 (187) 1
  15657: obj =   9.405015331e+00 inf =   1.312e+02 (175) 2
  15778: obj =   9.453782312e+00 inf =   1.282e+02 (157) 1
  15908: obj =   9.499452128e+00 inf =   1.252e+02 (157) 1
  16025: obj =   9.508765342e+00 inf =   1.218e+02 (153) 1
  16157: obj =   9.513314938e+00 inf =   1.204e+02 (149) 1
  16289: obj =   9.515794601e+00 inf =   1.194e+02 (149) 1
  16415: obj =   9.539492903e+00 inf =   1.178e+02 (133) 2
  16543: obj =   9.550830435e+00 inf =   1.152e+02 (123) 1
  16672: obj =   9.565615903e+00 inf =   1.094e+02 (117) 1
  16793: obj =   9.570665628e+00 inf =   1.058e+02 (105) 1
  16909: obj =   9.569471968e+00 inf =   1.031e+02 (99) 1
  17034: obj =   9.565326509e+00 inf =   1.003e+02 (99) 1
  17161: obj =   9.563370391e+00 inf =   9.946e+01 (99) 2
  17284: obj =   9.566810544e+00 inf =   9.829e+01 (99) 1
  17401: obj =   9.584421295e+00 inf =   9.611e+01 (93) 1
  17525: obj =   9.612293518e+00 inf =   9.423e+01 (93) 1
  17648: obj =   9.625913745e+00 inf =   9.244e+01 (75) 1
  17772: obj =   9.647164741e+00 inf =   9.060e+01 (75) 1
  17896: obj =   9.662259663e+00 inf =   8.916e+01 (73) 1
  18016: obj =   9.675659667e+00 inf =   8.786e+01 (71) 2
  18144: obj =   9.683929184e+00 inf =   8.736e+01 (71) 1
  18270: obj =   9.711671785e+00 inf =   8.619e+01 (69) 1
  18382: obj =   9.720054105e+00 inf =   8.508e+01 (69) 1
  18495: obj =   9.731691452e+00 inf =   8.364e+01 (69) 1
  18614: obj =   9.746616239e+00 inf =   8.209e+01 (55) 1
  18736: obj =   9.766625970e+00 inf =   8.059e+01 (53) 1
  18859: obj =   9.780444761e+00 inf =   7.947e+01 (53) 1
  18980: obj =   9.781022111e+00 inf =   7.829e+01 (53) 1
  19100: obj =   9.784459802e+00 inf =   7.763e+01 (41) 1
  19223: obj =   9.796055042e+00 inf =   7.651e+01 (41) 1
  19344: obj =   9.806644432e+00 inf =   7.557e+01 (41) 2
  19464: obj =   9.816061025e+00 inf =   7.402e+01 (37) 1
  19586: obj =   9.819334314e+00 inf =   7.294e+01 (37) 1
  19704: obj =   9.825883378e+00 inf =   7.125e+01 (35) 1
  19823: obj =   9.828793308e+00 inf =   7.036e+01 (33) 1
  19945: obj =   9.835517653e+00 inf =   6.969e+01 (33) 1
  20067: obj =   9.846524082e+00 inf =   6.917e+01 (31) 1
  20188: obj =   9.852048443e+00 inf =   6.873e+01 (31) 1
  20312: obj =   9.860652179e+00 inf =   6.804e+01 (31) 1
  20429: obj =   9.870950998e+00 inf =   6.720e+01 (31) 1
  20537: obj =   9.884362059e+00 inf =   6.620e+01 (31) 1
  20661: obj =   9.910286514e+00 inf =   6.482e+01 (31) 1
  20781: obj =   9.920514812e+00 inf =   6.373e+01 (31) 1
  20901: obj =   9.941683162e+00 inf =   6.241e+01 (31) 1
  21020: obj =   9.965382011e+00 inf =   6.066e+01 (27) 2
  21143: obj =   9.966532199e+00 inf =   6.020e+01 (27) 1
  21266: obj =   9.969667593e+00 inf =   5.970e+01 (25) 1
  21391: obj =   9.975460744e+00 inf =   5.900e+01 (25) 1
  21510: obj =   9.992181028e+00 inf =   5.777e+01 (23) 1
  21634: obj =   1.001031962e+01 inf =   5.607e+01 (23) 1
  21759: obj =   1.002145039e+01 inf =   5.501e+01 (23) 1
  21883: obj =   1.003280255e+01 inf =   5.388e+01 (17) 1
  21999: obj =   1.002790582e+01 inf =   5.268e+01 (17) 1
  22120: obj =   1.002555409e+01 inf =   5.202e+01 (15) 1
  22238: obj =   1.002453767e+01 inf =   5.139e+01 (15) 2
  22355: obj =   1.003499467e+01 inf =   5.075e+01 (15) 1
  22475: obj =   1.004850343e+01 inf =   4.958e+01 (15) 1
  22594: obj =   1.007724579e+01 inf =   4.836e+01 (13) 1
  22711: obj =   1.009275135e+01 inf =   4.696e+01 (13) 1
  22832: obj =   1.011773008e+01 inf =   4.617e+01 (11) 1
  22949: obj =   1.015774244e+01 inf =   4.518e+01 (11) 1
  23056: obj =   1.017900882e+01 inf =   4.444e+01 (11) 1
  23177: obj =   1.019106828e+01 inf =   4.406e+01 (11) 1
  23298: obj =   1.019913365e+01 inf =   4.357e+01 (11) 1
  23416: obj =   1.020360004e+01 inf =   4.256e+01 (11) 1
  23532: obj =   1.021480352e+01 inf =   4.183e+01 (11) 1
  23646: obj =   1.023053492e+01 inf =   4.064e+01 (11) 1
  23762: obj =   1.024024352e+01 inf =   3.970e+01 (11) 1
  23877: obj =   1.026009942e+01 inf =   3.820e+01 (9) 1
  23995: obj =   1.026992956e+01 inf =   3.756e+01 (9) 1
  24112: obj =   1.027642050e+01 inf =   3.723e+01 (9) 1
  24232: obj =   1.028266837e+01 inf =   3.703e+01 (9) 1
  24356: obj =   1.030035361e+01 inf =   3.635e+01 (9) 1
  24476: obj =   1.034312314e+01 inf =   3.500e+01 (9) 1
  24594: obj =   1.037384371e+01 inf =   3.405e+01 (9) 1
  24718: obj =   1.039868688e+01 inf =   3.314e+01 (9) 1
  24838: obj =   1.042286464e+01 inf =   3.239e+01 (9) 2
  24961: obj =   1.045380641e+01 inf =   3.164e+01 (9) 1
  25080: obj =   1.046741508e+01 inf =   3.131e+01 (9) 1
  25206: obj =   1.047235878e+01 inf =   3.119e+01 (9) 1
  25321: obj =   1.047900792e+01 inf =   3.086e+01 (9) 1
  25436: obj =   1.048620697e+01 inf =   3.034e+01 (9) 1
  25558: obj =   1.049796564e+01 inf =   2.969e+01 (9) 1
  25683: obj =   1.051280016e+01 inf =   2.884e+01 (9) 1
  25808: obj =   1.052602814e+01 inf =   2.766e+01 (9) 1
  25927: obj =   1.054220718e+01 inf =   2.625e+01 (9) 1
  26048: obj =   1.055171067e+01 inf =   2.541e+01 (9) 1
  26170: obj =   1.055385052e+01 inf =   2.529e+01 (5) 2
  26296: obj =   1.056183721e+01 inf =   2.498e+01 (5) 1
  26421: obj =   1.057852244e+01 inf =   2.423e+01 (5) 1
  26547: obj =   1.059640624e+01 inf =   2.354e+01 (5) 1
  26673: obj =   1.060783020e+01 inf =   2.286e+01 (5) 1
  26795: obj =   1.063620816e+01 inf =   2.158e+01 (5) 1
  26918: obj =   1.065205228e+01 inf =   2.072e+01 (5) 1
  27040: obj =   1.068318781e+01 inf =   1.961e+01 (5) 1
  27163: obj =   1.068682067e+01 inf =   1.951e+01 (5) 2
  27293: obj =   1.069760616e+01 inf =   1.900e+01 (5) 1
  27418: obj =   1.072916578e+01 inf =   1.789e+01 (5) 1
  27542: obj =   1.075706517e+01 inf =   1.671e+01 (5) 1
  27666: obj =   1.079610234e+01 inf =   1.528e+01 (5) 1
  27789: obj =   1.082680784e+01 inf =   1.416e+01 (5) 1
  27913: obj =   1.087526358e+01 inf =   1.283e+01 (5) 1
  28038: obj =   1.090894660e+01 inf =   1.173e+01 (5) 1
  28166: obj =   1.091355709e+01 inf =   1.150e+01 (5) 1
  28285: obj =   1.092544053e+01 inf =   1.107e+01 (5) 2
  28411: obj =   1.095239631e+01 inf =   1.034e+01 (5) 1
  28536: obj =   1.097920149e+01 inf =   9.097e+00 (5) 1
  28660: obj =   1.100693934e+01 inf =   7.960e+00 (5) 1
  28785: obj =   1.103270222e+01 inf =   6.719e+00 (5) 1
  28908: obj =   1.106886202e+01 inf =   5.443e+00 (5) 1
  29027: obj =   1.111855010e+01 inf =   3.596e+00 (5) 1
  29152: obj =   1.112740363e+01 inf =   3.278e+00 (5) 1
  29274: obj =   1.114454600e+01 inf =   2.379e+00 (5) 1
  29398: obj =   1.116303268e+01 inf =   1.678e+00 (5) 1
  29521: obj =   1.119662096e+01 inf =   5.541e-01 (5) 1
  29632: obj =   1.121791329e+01 inf =   1.293e-04 (0) 1
* 29755: obj =   1.115384860e+01 inf =   1.283e-04 (22746) 1
* 29882: obj =   1.110342562e+01 inf =   1.293e-04 (23218) 1
* 30002: obj =   1.105047659e+01 inf =   1.252e-04 (22751) 2
* 30133: obj =   1.102781392e+01 inf =   1.216e-04 (22575) 1
* 30262: obj =   1.100436581e+01 inf =   1.219e-04 (22903) 1
* 30390: obj =   1.095069718e+01 inf =   1.204e-04 (21855) 1
* 30518: obj =   1.088805444e+01 inf =   1.193e-04 (22966) 2
* 30644: obj =   1.081552729e+01 inf =   1.195e-04 (21939) 1
* 30768: obj =   1.074312213e+01 inf =   1.196e-04 (21943) 1
* 30896: obj =   1.068123131e+01 inf =   1.203e-04 (21800) 1
* 31018: obj =   1.060223882e+01 inf =   1.203e-04 (22335) 1
* 31147: obj =   1.057682105e+01 inf =   1.203e-04 (22865) 1
* 31269: obj =   1.056171197e+01 inf =   1.203e-04 (23896) 2
* 31393: obj =   1.051512164e+01 inf =   1.186e-04 (21611) 1
* 31512: obj =   1.045135145e+01 inf =   1.186e-04 (22039) 1
* 31633: obj =   1.039148546e+01 inf =   1.184e-04 (21683) 1
* 31753: obj =   1.033037317e+01 inf =   1.183e-04 (23261) 1
* 31873: obj =   1.027366939e+01 inf =   1.179e-04 (21716) 1
* 31992: obj =   1.020574817e+01 inf =   1.180e-04 (22488) 1
* 32115: obj =   1.019034268e+01 inf =   1.227e-04 (22809) 2
* 32241: obj =   1.017095395e+01 inf =   1.208e-04 (22353) 1
* 32362: obj =   1.014716144e+01 inf =   1.116e-04 (22523) 1
* 32485: obj =   1.012415653e+01 inf =   1.122e-04 (23597) 1
* 32609: obj =   1.008478418e+01 inf =   1.127e-04 (22167) 1
* 32732: obj =   1.003385115e+01 inf =   1.136e-04 (23274) 1
* 32854: obj =   9.993869468e+00 inf =   1.139e-04 (23404) 1
* 32971: obj =   9.926358592e+00 inf =   1.145e-04 (22425) 2
* 33096: obj =   9.885694834e+00 inf =   1.098e-04 (23825) 1
* 33224: obj =   9.868202391e+00 inf =   1.154e-04 (22471) 1
* 33345: obj =   9.831134706e+00 inf =   1.198e-04 (23216) 1
* 33466: obj =   9.787755801e+00 inf =   1.197e-04 (23087) 1
* 33586: obj =   9.748424122e+00 inf =   1.192e-04 (21954) 1
* 33709: obj =   9.712319599e+00 inf =   1.174e-04 (22664) 1
* 33831: obj =   9.678649241e+00 inf =   1.180e-04 (23058) 2
* 33948: obj =   9.601849906e+00 inf =   1.179e-04 (22004) 1
* 34069: obj =   9.571078254e+00 inf =   1.216e-04 (23835) 1
* 34196: obj =   9.562998923e+00 inf =   1.224e-04 (22860) 1
* 34322: obj =   9.531614507e+00 inf =   1.219e-04 (21334) 1
* 34441: obj =   9.443803019e+00 inf =   1.234e-04 (23680) 1
* 34561: obj =   9.371741529e+00 inf =   1.235e-04 (22176) 1
* 34679: obj =   9.343338473e+00 inf =   1.245e-04 (22691) 2
* 34801: obj =   9.284905207e+00 inf =   1.243e-04 (23246) 1
* 34923: obj =   9.251137159e+00 inf =   1.239e-04 (22483) 1
* 35048: obj =   9.222043980e+00 inf =   1.244e-04 (23241) 1
* 35176: obj =   9.202795226e+00 inf =   1.234e-04 (23709) 1
* 35302: obj =   9.184150898e+00 inf =   1.238e-04 (23208) 1
* 35417: obj =   9.127915424e+00 inf =   1.241e-04 (21938) 2
* 35538: obj =   9.093403792e+00 inf =   1.239e-04 (23237) 1
* 35659: obj =   9.061808112e+00 inf =   1.217e-04 (22613) 1
* 35778: obj =   9.017538046e+00 inf =   1.220e-04 (22217) 1
* 35896: obj =   8.975498427e+00 inf =   1.286e-04 (22767) 1
* 36014: obj =   8.945360200e+00 inf =   1.288e-04 (21479) 1
* 36139: obj =   8.933500120e+00 inf =   1.292e-04 (22605) 1
* 36262: obj =   8.914667525e+00 inf =   1.248e-04 (22868) 2
* 36384: obj =   8.901007593e+00 inf =   1.246e-04 (22547) 1
* 36504: obj =   8.884048266e+00 inf =   1.259e-04 (22198) 1
* 36622: obj =   8.834764350e+00 inf =   1.257e-04 (21840) 1
* 36741: obj =   8.798938765e+00 inf =   1.269e-04 (22205) 1
* 36857: obj =   8.752771042e+00 inf =   1.267e-04 (21991) 1
* 36974: obj =   8.722232291e+00 inf =   1.277e-04 (23002) 1
* 37095: obj =   8.703211294e+00 inf =   1.268e-04 (22385) 1
* 37218: obj =   8.692563001e+00 inf =   1.270e-04 (22795) 1
* 37334: obj =   8.681041433e+00 inf =   1.273e-04 (22668) 2
* 37456: obj =   8.661682850e+00 inf =   1.258e-04 (21177) 1
* 37573: obj =   8.633804335e+00 inf =   1.268e-04 (22226) 1
* 37690: obj =   8.610215922e+00 inf =   1.270e-04 (21936) 1
* 37809: obj =   8.592644530e+00 inf =   1.272e-04 (22026) 1
* 37922: obj =   8.557537560e+00 inf =   1.273e-04 (23682) 1
* 38037: obj =   8.536841538e+00 inf =   1.296e-04 (22080) 1
* 38159: obj =   8.533901163e+00 inf =   1.365e-04 (23613) 1
* 38279: obj =   8.530107773e+00 inf =   1.365e-04 (22337) 1
* 38399: obj =   8.516981716e+00 inf =   1.371e-04 (22446) 1
* 38517: obj =   8.494516275e+00 inf =   1.377e-04 (23737) 2
* 38634: obj =   8.469612984e+00 inf =   1.354e-04 (23309) 1
* 38748: obj =   8.438277775e+00 inf =   1.354e-04 (22358) 1
* 38861: obj =   8.398492867e+00 inf =   1.351e-04 (23795) 1
* 38974: obj =   8.365504353e+00 inf =   1.329e-04 (21259) 1
* 39091: obj =   8.349504634e+00 inf =   1.328e-04 (23225) 1
* 39213: obj =   8.340426730e+00 inf =   1.319e-04 (21820) 1
* 39334: obj =   8.331213613e+00 inf =   1.322e-04 (22192) 1
* 39448: obj =   8.321786079e+00 inf =   1.325e-04 (23641) 1
* 39566: obj =   8.304916715e+00 inf =   1.336e-04 (23922) 1
* 39681: obj =   8.289153043e+00 inf =   1.340e-04 (23234) 2
* 39797: obj =   8.255458340e+00 inf =   1.359e-04 (21474) 1
* 39914: obj =   8.226497686e+00 inf =   1.335e-04 (23656) 1
* 40036: obj =   8.218676183e+00 inf =   1.348e-04 (22650) 1
* 40157: obj =   8.205828845e+00 inf =   1.339e-04 (24011) 1
* 40280: obj =   8.200081057e+00 inf =   1.369e-04 (22926) 1
* 40397: obj =   8.189864389e+00 inf =   1.432e-04 (22618) 1
* 40514: obj =   8.170589220e+00 inf =   1.453e-04 (22456) 1
* 40634: obj =   8.141729371e+00 inf =   1.471e-04 (22782) 1
* 40742: obj =   8.105272357e+00 inf =   1.479e-04 (22210) 2
* 40856: obj =   8.087018142e+00 inf =   1.488e-04 (23068) 1
* 40971: obj =   8.068749554e+00 inf =   1.487e-04 (22188) 1
* 41088: obj =   8.053073876e+00 inf =   1.554e-04 (22611) 1
* 41207: obj =   8.049172134e+00 inf =   1.563e-04 (22133) 1
* 41326: obj =   8.043627606e+00 inf =   1.525e-04 (22038) 1
* 41444: obj =   8.029999209e+00 inf =   1.517e-04 (22840) 1
* 41562: obj =   8.015121364e+00 inf =   1.510e-04 (22225) 1
* 41677: obj =   7.998365365e+00 inf =   1.509e-04 (21612) 1
* 41793: obj =   7.983569387e+00 inf =   1.507e-04 (23157) 1
* 41905: obj =   7.968895180e+00 inf =   1.510e-04 (22878) 2
* 42020: obj =   7.949576773e+00 inf =   1.517e-04 (22436) 1
* 42137: obj =   7.942453348e+00 inf =   1.502e-04 (22383) 1
* 42256: obj =   7.938186413e+00 inf =   1.503e-04 (21771) 1
* 42374: obj =   7.933045493e+00 inf =   1.505e-04 (22690) 1
* 42493: obj =   7.928362021e+00 inf =   1.531e-04 (23241) 1
* 42610: obj =   7.913680297e+00 inf =   1.542e-04 (21858) 1
* 42727: obj =   7.896221889e+00 inf =   1.545e-04 (21446) 1
* 42841: obj =   7.874897258e+00 inf =   1.546e-04 (21476) 1
* 42954: obj =   7.850699983e+00 inf =   1.550e-04 (22238) 1
* 43071: obj =   7.836445977e+00 inf =   1.589e-04 (22989) 2
* 43189: obj =   7.829395183e+00 inf =   1.514e-04 (21668) 1
* 43305: obj =   7.820474744e+00 inf =   1.508e-04 (21163) 1
* 43422: obj =   7.805434423e+00 inf =   1.518e-04 (23711) 1
* 43538: obj =   7.793798437e+00 inf =   1.529e-04 (21243) 1
* 43655: obj =   7.783390672e+00 inf =   1.541e-04 (23270) 1
* 43771: obj =   7.771536473e+00 inf =   1.601e-04 (23207) 1
* 43883: obj =   7.742946038e+00 inf =   1.603e-04 (22942) 1
* 43998: obj =   7.724600091e+00 inf =   1.606e-04 (23134) 1
* 44114: obj =   7.718569203e+00 inf =   1.666e-04 (22958) 1
* 44230: obj =   7.716718304e+00 inf =   1.670e-04 (22125) 2
* 44349: obj =   7.714803171e+00 inf =   1.707e-04 (23093) 1
* 44465: obj =   7.706351496e+00 inf =   1.731e-04 (22656) 1
* 44577: obj =   7.685125035e+00 inf =   1.718e-04 (22292) 1
* 44686: obj =   7.654253530e+00 inf =   1.724e-04 (22986) 1
* 44795: obj =   7.626509221e+00 inf =   1.734e-04 (23710) 1
* 44907: obj =   7.600622295e+00 inf =   1.745e-04 (21906) 1
* 45019: obj =   7.586081668e+00 inf =   1.744e-04 (21396) 1
* 45134: obj =   7.575549844e+00 inf =   1.723e-04 (23057) 1
* 45253: obj =   7.572220059e+00 inf =   1.737e-04 (23155) 1
* 45371: obj =   7.568546896e+00 inf =   1.731e-04 (22487) 1
* 45487: obj =   7.564712980e+00 inf =   1.750e-04 (21772) 1
* 45602: obj =   7.556847471e+00 inf =   1.760e-04 (23150) 1
* 45712: obj =   7.547198395e+00 inf =   1.757e-04 (21774) 2
* 45826: obj =   7.540358564e+00 inf =   1.760e-04 (22443) 1
* 45938: obj =   7.527898890e+00 inf =   1.756e-04 (23187) 1
* 46050: obj =   7.514367303e+00 inf =   1.770e-04 (22330) 1
* 46169: obj =   7.512600394e+00 inf =   1.750e-04 (23225) 1
* 46288: obj =   7.511721785e+00 inf =   1.859e-04 (23022) 1
* 46407: obj =   7.508517122e+00 inf =   1.845e-04 (22947) 1
* 46523: obj =   7.495749288e+00 inf =   1.842e-04 (21870) 1
* 46638: obj =   7.485103170e+00 inf =   1.839e-04 (22830) 1
* 46753: obj =   7.477651669e+00 inf =   1.837e-04 (22903) 1
* 46865: obj =   7.468590927e+00 inf =   1.825e-04 (23116) 1
* 46976: obj =   7.457583967e+00 inf =   1.826e-04 (23360) 1
* 47091: obj =   7.444983450e+00 inf =   1.815e-04 (22601) 1
* 47209: obj =   7.437968611e+00 inf =   1.828e-04 (23090) 1
* 47322: obj =   7.435712994e+00 inf =   1.810e-04 (22038) 2
* 47437: obj =   7.425775009e+00 inf =   1.803e-04 (22695) 1
* 47554: obj =   7.411875660e+00 inf =   1.800e-04 (22577) 1
* 47670: obj =   7.403372958e+00 inf =   1.793e-04 (22795) 1
